code,date,close
1379,2025-09-08,1879.06
1379,2025-09-15,1870.31
1379,2025-09-22,1889.76
1379,2025-09-29,1811.59
1379,2025-10-06,1824.29
1379,2025-10-13,1833.08
1379,2025-10-20,1846.76
1379,2025-10-27,1782.27
1379,2025-11-03,1835.04
1379,2025-11-10,1866.3
1379,2025-11-17,1993.33
1379,2025-11-24,2053.91
1379,2025-12-01,1957.18
1379,2025-12-08,1976.72
1379,2025-12-15,2012.87
1379,2025-12-22,1970.86
1379,2025-12-29,1977.7
1379,2026-01-05,1978.67
1379,2026-01-12,1981.6
1379,2026-01-19,1963.04
1379,2026-01-26,1934.7
1379,2026-02-02,1988.44
1379,2026-02-09,1975.74
1379,2026-02-16,1935.68
1379,2026-02-23,1965.97
1379,2026-03-02,1928.84
1379,2026-03-09,1877.05
1379,2026-03-16,1873.14
1379,2026-03-23,1922.0
1379,2026-03-30,1933.0
1379,2026-04-06,1930.0
1379,2026-04-13,1908.0
1379,2026-04-20,1834.0
1379,2026-04-27,1826.0
1379,2026-05-04,1856.0
1379,2026-05-11,1896.0
1379,2026-05-18,1881.0
1379,2026-05-25,1820.0
1379,2026-06-01,1826.0
1379,2026-06-08,1898.0
1379,2026-06-15,1886.0
1379,2026-06-22,1837.0
1379,2026-06-29,1887.0
1379,2026-07-06,1915.0
1379,2026-07-13,1924.0
1379,2026-07-20,1936.0
1379,2026-07-27,1952.0
1379,2026-08-03,1924.0
1379,2026-08-10,1994.0
1379,2026-08-17,2112.0
1379,2026-08-24,2116.0
1379,2026-08-31,2177.0
150A,2025-09-08,435.0
150A,2025-09-15,448.0
150A,2025-09-22,452.0
150A,2025-09-29,440.0
150A,2025-10-06,439.0
150A,2025-10-13,429.0
150A,2025-10-20,422.0
150A,2025-10-27,424.0
150A,2025-11-03,417.0
150A,2025-11-10,413.0
150A,2025-11-17,415.0
150A,2025-11-24,420.0
150A,2025-12-01,415.0
150A,2025-12-08,412.0
150A,2025-12-15,415.0
150A,2025-12-22,409.0
150A,2025-12-29,405.0
150A,2026-01-05,409.0
150A,2026-01-12,405.0
150A,2026-01-19,403.0
150A,2026-01-26,415.0
150A,2026-02-02,403.0
150A,2026-02-09,407.0
150A,2026-02-16,401.0
150A,2026-02-23,402.0
150A,2026-03-02,403.0
150A,2026-03-09,391.0
150A,2026-03-16,368.0
150A,2026-03-23,346.0
150A,2026-03-30,360.0
150A,2026-04-06,370.0
150A,2026-04-13,383.0
150A,2026-04-20,360.0
150A,2026-04-27,365.0
150A,2026-05-04,360.0
150A,2026-05-11,357.0
150A,2026-05-18,373.0
150A,2026-05-25,365.0
150A,2026-06-01,348.0
150A,2026-06-08,336.0
150A,2026-06-15,342.0
150A,2026-06-22,343.0
150A,2026-06-29,357.0
150A,2026-07-06,360.0
150A,2026-07-13,542.0
150A,2026-07-20,556.0
150A,2026-07-27,425.0
150A,2026-08-03,473.0
150A,2026-08-10,619.0
150A,2026-08-17,746.0
150A,2026-08-24,765.0
150A,2026-08-31,797.0
1879,2025-09-08,1869.79
1879,2025-09-15,1785.77
1879,2025-09-22,1813.78
1879,2025-09-29,1768.63
1879,2025-10-06,1750.96
1879,2025-10-13,1785.31
1879,2025-10-20,1801.02
1879,2025-10-27,1740.17
1879,2025-11-03,1772.56
1879,2025-11-10,1785.31
1879,2025-11-17,1849.11
1879,2025-11-24,1930.57
1879,2025-12-01,1852.06
1879,2025-12-08,1908.98
1879,2025-12-15,1990.44
1879,2025-12-22,1986.52
1879,2025-12-29,1997.31
1879,2026-01-05,2025.78
1879,2026-01-12,2101.35
1879,2026-01-19,2065.04
1879,2026-01-26,1958.06
1879,2026-02-02,2033.63
1879,2026-02-09,2026.76
1879,2026-02-16,2021.85
1879,2026-02-23,2160.24
1879,2026-03-02,1987.5
1879,2026-03-09,1958.06
1879,2026-03-16,1937.44
1879,2026-03-23,1961.0
1879,2026-03-30,1963.0
1879,2026-04-06,2019.0
1879,2026-04-13,1953.0
1879,2026-04-20,1924.0
1879,2026-04-27,1934.0
1879,2026-05-04,1928.0
1879,2026-05-11,2256.0
1879,2026-05-18,2280.0
1879,2026-05-25,2262.0
1879,2026-06-01,2210.0
1879,2026-06-08,2241.0
1879,2026-06-15,2199.0
1879,2026-06-22,2097.0
1879,2026-06-29,2119.0
1879,2026-07-06,2094.0
1879,2026-07-13,2034.0
1879,2026-07-20,2061.0
1879,2026-07-27,2112.0
1879,2026-08-03,2243.0
1879,2026-08-10,2293.0
1879,2026-08-17,2319.0
1879,2026-08-24,2340.0
1879,2026-08-31,2362.0
1914,2025-09-08,628.97
1914,2025-09-15,617.46
1914,2025-09-22,627.05
1914,2025-09-29,605.96
1914,2025-10-06,599.24
1914,2025-10-13,606.91
1914,2025-10-20,613.63
1914,2025-10-27,606.91
1914,2025-11-03,608.83
1914,2025-11-10,630.88
1914,2025-11-17,630.88
1914,2025-11-24,633.76
1914,2025-12-01,611.71
1914,2025-12-08,622.26
1914,2025-12-15,616.5
1914,2025-12-22,626.09
1914,2025-12-29,635.68
1914,2026-01-05,652.94
1914,2026-01-12,659.65
1914,2026-01-19,662.52
1914,2026-01-26,641.43
1914,2026-02-02,651.98
1914,2026-02-09,672.11
1914,2026-02-16,704.71
1914,2026-02-23,716.22
1914,2026-03-02,703.75
1914,2026-03-09,680.74
1914,2026-03-16,687.45
1914,2026-03-23,698.0
1914,2026-03-30,693.0
1914,2026-04-06,707.0
1914,2026-04-13,716.0
1914,2026-04-20,730.0
1914,2026-04-27,740.0
1914,2026-05-04,733.0
1914,2026-05-11,686.0
1914,2026-05-18,688.0
1914,2026-05-25,711.0
1914,2026-06-01,676.0
1914,2026-06-08,661.0
1914,2026-06-15,663.0
1914,2026-06-22,652.0
1914,2026-06-29,679.0
1914,2026-07-06,700.0
1914,2026-07-13,684.0
1914,2026-07-20,699.0
1914,2026-07-27,729.0
1914,2026-08-03,720.0
1914,2026-08-10,733.0
1914,2026-08-17,745.0
1914,2026-08-24,790.0
1914,2026-08-31,818.0
1939,2025-09-08,1321.1
1939,2025-09-15,1305.83
1939,2025-09-22,1323.01
1939,2025-09-29,1290.76
1939,2025-10-06,1285.88
1939,2025-10-13,1317.15
1939,2025-10-20,1346.46
1939,2025-10-27,1375.77
1939,2025-11-03,1354.28
1939,2025-11-10,1408.02
1939,2025-11-17,1421.7
1939,2025-11-24,1474.46
1939,2025-12-01,1419.74
1939,2025-12-08,1444.17
1939,2025-12-15,1475.44
1939,2025-12-22,1496.93
1939,2025-12-29,1522.34
1939,2026-01-05,1561.42
1939,2026-01-12,1667.93
1939,2026-01-19,1690.4
1939,2026-01-26,1635.68
1939,2026-02-02,1913.18
1939,2026-02-09,1956.18
1939,2026-02-16,1964.97
1939,2026-02-23,2063.66
1939,2026-03-02,1900.48
1939,2026-03-09,1914.16
1939,2026-03-16,1922.95
1939,2026-03-23,1921.0
1939,2026-03-30,1923.0
1939,2026-04-06,1982.0
1939,2026-04-13,1913.0
1939,2026-04-20,1970.0
1939,2026-04-27,2020.0
1939,2026-05-04,2045.0
1939,2026-05-11,2014.0
1939,2026-05-18,1909.0
1939,2026-05-25,1955.0
1939,2026-06-01,1852.0
1939,2026-06-08,1881.0
1939,2026-06-15,1984.0
1939,2026-06-22,2063.0
1939,2026-06-29,2006.0
1939,2026-07-06,2000.0
1939,2026-07-13,1932.0
1939,2026-07-20,1990.0
1939,2026-07-27,2007.0
1939,2026-08-03,2081.0
1939,2026-08-10,2125.0
1939,2026-08-17,2120.0
1939,2026-08-24,2179.0
1939,2026-08-31,2294.0
2004,2025-09-08,2986.38
2004,2025-09-15,3000.85
2004,2025-09-22,3053.92
2004,2025-09-29,2946.08
2004,2025-10-06,2941.18
2004,2025-10-13,2975.49
2004,2025-10-20,3019.61
2004,2025-10-27,2885.29
2004,2025-11-03,2937.25
2004,2025-11-10,2946.08
2004,2025-11-17,2990.2
2004,2025-11-24,3044.12
2004,2025-12-01,2799.02
2004,2025-12-08,2811.76
2004,2025-12-15,2815.69
2004,2025-12-22,2941.18
2004,2025-12-29,2955.88
2004,2026-01-05,3024.51
2004,2026-01-12,3068.63
2004,2026-01-19,3171.57
2004,2026-01-26,3088.24
2004,2026-02-02,3210.78
2004,2026-02-09,3299.02
2004,2026-02-16,3318.63
2004,2026-02-23,3357.84
2004,2026-03-02,3269.61
2004,2026-03-09,3191.18
2004,2026-03-16,3196.08
2004,2026-03-23,3250.0
2004,2026-03-30,3255.0
2004,2026-04-06,3180.0
2004,2026-04-13,3210.0
2004,2026-04-20,3070.0
2004,2026-04-27,3010.0
2004,2026-05-04,3010.0
2004,2026-05-11,3160.0
2004,2026-05-18,3160.0
2004,2026-05-25,3180.0
2004,2026-06-01,3175.0
2004,2026-06-08,3315.0
2004,2026-06-15,3285.0
2004,2026-06-22,3400.0
2004,2026-06-29,3375.0
2004,2026-07-06,3485.0
2004,2026-07-13,3540.0
2004,2026-07-20,3475.0
2004,2026-07-27,3550.0
2004,2026-08-03,3540.0
2004,2026-08-10,3605.0
2004,2026-08-17,3745.0
2004,2026-08-24,3755.0
2004,2026-08-31,3835.0
2053,2025-09-08,1672.89
2053,2025-09-15,1694.1
2053,2025-09-22,1743.27
2053,2025-09-29,1677.58
2053,2025-10-06,1609.93
2053,2025-10-13,1636.4
2053,2025-10-20,1691.31
2053,2025-10-27,1570.71
2053,2025-11-03,1618.75
2053,2025-11-10,1676.6
2053,2025-11-17,1734.45
2053,2025-11-24,1769.75
2053,2025-12-01,1739.35
2053,2025-12-08,1679.54
2053,2025-12-15,1716.8
2053,2025-12-22,1701.11
2053,2025-12-29,1696.21
2053,2026-01-05,1721.7
2053,2026-01-12,1746.21
2053,2026-01-19,1733.47
2053,2026-01-26,1768.77
2053,2026-02-02,1855.05
2053,2026-02-09,1877.6
2053,2026-02-16,1895.25
2053,2026-02-23,1948.19
2053,2026-03-02,1822.69
2053,2026-03-09,1752.1
2053,2026-03-16,1731.51
2053,2026-03-23,1757.0
2053,2026-03-30,1775.0
2053,2026-04-06,1714.0
2053,2026-04-13,1727.0
2053,2026-04-20,1709.0
2053,2026-04-27,1682.0
2053,2026-05-04,1693.0
2053,2026-05-11,1804.0
2053,2026-05-18,1742.0
2053,2026-05-25,1703.0
2053,2026-06-01,1718.0
2053,2026-06-08,1842.0
2053,2026-06-15,1837.0
2053,2026-06-22,1824.0
2053,2026-06-29,1891.0
2053,2026-07-06,1907.0
2053,2026-07-13,1930.0
2053,2026-07-20,1954.0
2053,2026-07-27,1891.0
2053,2026-08-03,1898.0
2053,2026-08-10,1997.0
2053,2026-08-17,2031.0
2053,2026-08-24,2002.0
2053,2026-08-31,2052.0
2060,2025-09-08,1103.69
2060,2025-09-15,1103.69
2060,2025-09-22,1117.16
2060,2025-09-29,1056.4
2060,2025-10-06,1017.21
2060,2025-10-13,1032.89
2060,2025-10-20,1044.65
2060,2025-10-27,997.61
2060,2025-11-03,983.89
2060,2025-11-10,986.83
2060,2025-11-17,1022.11
2060,2025-11-24,1005.45
2060,2025-12-01,998.59
2060,2025-12-08,991.73
2060,2025-12-15,1031.91
2060,2025-12-22,1034.85
2060,2025-12-29,1037.79
2060,2026-01-05,1060.32
2060,2026-01-12,1070.12
2060,2026-01-19,1068.16
2060,2026-01-26,1088.74
2060,2026-02-02,1174.98
2060,2026-02-09,1237.7
2060,2026-02-16,1230.84
2060,2026-02-23,1306.3
2060,2026-03-02,1239.66
2060,2026-03-09,1179.88
2060,2026-03-16,1167.14
2060,2026-03-23,1198.5
2060,2026-03-30,1170.0
2060,2026-04-06,1144.0
2060,2026-04-13,1125.0
2060,2026-04-20,1085.0
2060,2026-04-27,1102.0
2060,2026-05-04,1092.0
2060,2026-05-11,1253.0
2060,2026-05-18,1188.0
2060,2026-05-25,1200.0
2060,2026-06-01,1167.0
2060,2026-06-08,1211.0
2060,2026-06-15,1205.0
2060,2026-06-22,1219.0
2060,2026-06-29,1258.0
2060,2026-07-06,1261.0
2060,2026-07-13,1284.0
2060,2026-07-20,1283.0
2060,2026-07-27,1284.0
2060,2026-08-03,1273.0
2060,2026-08-10,1410.0
2060,2026-08-17,1435.0
2060,2026-08-24,1408.0
2060,2026-08-31,1472.0
2109,2025-09-08,3184.71
2109,2025-09-15,3189.52
2109,2025-09-22,3218.38
2109,2025-09-29,3090.82
2109,2025-10-06,3071.2
2109,2025-10-13,3110.45
2109,2025-10-20,3144.79
2109,2025-10-27,2977.98
2109,2025-11-03,3061.39
2109,2025-11-10,3159.51
2109,2025-11-17,3238.01
2109,2025-11-24,3257.63
2109,2025-12-01,3144.79
2109,2025-12-08,3134.98
2109,2025-12-15,3193.85
2109,2025-12-22,3247.82
2109,2025-12-29,3267.44
2109,2026-01-05,3311.6
2109,2026-01-12,3341.03
2109,2026-01-19,3414.62
2109,2026-01-26,3291.97
2109,2026-02-02,3350.85
2109,2026-02-09,3448.97
2109,2026-02-16,3395.0
2109,2026-02-23,3483.31
2109,2026-03-02,3360.66
2109,2026-03-09,3316.5
2109,2026-03-16,3301.78
2109,2026-03-23,3395.0
2109,2026-03-30,3470.0
2109,2026-04-06,3515.0
2109,2026-04-13,3450.0
2109,2026-04-20,3335.0
2109,2026-04-27,3300.0
2109,2026-05-04,3255.0
2109,2026-05-11,3290.0
2109,2026-05-18,3285.0
2109,2026-05-25,3250.0
2109,2026-06-01,3210.0
2109,2026-06-08,3230.0
2109,2026-06-15,3220.0
2109,2026-06-22,3225.0
2109,2026-06-29,3295.0
2109,2026-07-06,3315.0
2109,2026-07-13,3355.0
2109,2026-07-20,3370.0
2109,2026-07-27,3430.0
2109,2026-08-03,3465.0
2109,2026-08-10,3515.0
2109,2026-08-17,3660.0
2109,2026-08-24,3665.0
2109,2026-08-31,3775.0
2121,2025-09-08,3197.38
2121,2025-09-15,3163.82
2121,2025-09-22,3082.33
2121,2025-09-29,3155.6
2121,2025-10-06,3062.79
2121,2025-10-13,2984.64
2121,2025-10-20,3092.1
2121,2025-10-27,3043.25
2121,2025-11-03,2979.75
2121,2025-11-10,2945.56
2121,2025-11-17,2830.27
2121,2025-11-24,2830.27
2121,2025-12-01,2710.11
2121,2025-12-08,2681.78
2121,2025-12-15,2645.63
2121,2025-12-22,2662.24
2121,2025-12-29,2664.19
2121,2026-01-05,2716.95
2121,2026-01-12,2682.75
2121,2026-01-19,2699.36
2121,2026-01-26,2654.42
2121,2026-02-02,2556.72
2121,2026-02-09,2542.07
2121,2026-02-16,2554.77
2121,2026-02-23,2623.16
2121,2026-03-02,2565.52
2121,2026-03-09,2586.03
2121,2026-03-16,2555.75
2121,2026-03-23,2545.0
2121,2026-03-30,2540.0
2121,2026-04-06,2528.0
2121,2026-04-13,2645.0
2121,2026-04-20,2520.0
2121,2026-04-27,2595.0
2121,2026-05-04,2603.0
2121,2026-05-11,2662.0
2121,2026-05-18,2676.0
2121,2026-05-25,2643.0
2121,2026-06-01,2694.0
2121,2026-06-08,2667.0
2121,2026-06-15,2588.0
2121,2026-06-22,2619.0
2121,2026-06-29,2813.0
2121,2026-07-06,2933.0
