code,date,close
2004,2025-07-21,2871.55
2004,2025-07-28,2981.55
2004,2025-08-04,2918.83
2004,2025-08-11,2899.54
2004,2025-08-18,2923.66
2004,2025-08-25,2888.92
2004,2025-09-01,2923.66
2004,2025-09-08,2986.38
2004,2025-09-15,3000.85
2004,2025-09-22,3053.92
2004,2025-09-29,2946.08
2004,2025-10-06,2941.18
2004,2025-10-13,2975.49
2004,2025-10-20,3019.61
2004,2025-10-27,2885.29
2004,2025-11-03,2937.25
2004,2025-11-10,2946.08
2004,2025-11-17,2990.2
2004,2025-11-24,3044.12
2004,2025-12-01,2799.02
2004,2025-12-08,2811.76
2004,2025-12-15,2815.69
2004,2025-12-22,2941.18
2004,2025-12-29,2955.88
2004,2026-01-05,3024.51
2004,2026-01-12,3068.63
2004,2026-01-19,3171.57
2004,2026-01-26,3088.24
2004,2026-02-02,3210.78
2004,2026-02-09,3299.02
2004,2026-02-16,3318.63
2004,2026-02-23,3357.84
2004,2026-03-02,3269.61
2004,2026-03-09,3191.18
2004,2026-03-16,3196.08
2004,2026-03-23,3250.0
2004,2026-03-30,3255.0
2004,2026-04-06,3180.0
2004,2026-04-13,3210.0
2004,2026-04-20,3070.0
2004,2026-04-27,3010.0
2004,2026-05-04,3010.0
2004,2026-05-11,3160.0
2004,2026-05-18,3160.0
2004,2026-05-25,3180.0
2004,2026-06-01,3175.0
2004,2026-06-08,3315.0
2004,2026-06-15,3285.0
2004,2026-06-22,3400.0
2004,2026-06-29,3375.0
2004,2026-07-06,3485.0
2004,2026-07-13,3465.0
205A,2025-07-21,1288.96
205A,2025-07-28,1302.51
205A,2025-08-04,1327.67
205A,2025-08-11,1349.93
205A,2025-08-18,1340.25
205A,2025-08-25,1318.0
205A,2025-09-01,1309.29
205A,2025-09-08,1282.19
205A,2025-09-15,1355.74
205A,2025-09-22,1565.72
205A,2025-09-29,1593.79
205A,2025-10-06,1474.76
205A,2025-10-13,1416.7
205A,2025-10-20,1490.24
205A,2025-10-27,1447.67
205A,2025-11-03,1433.15
205A,2025-11-10,1450.57
205A,2025-11-17,1538.63
205A,2025-11-24,1649.91
205A,2025-12-01,1549.27
205A,2025-12-08,1604.43
205A,2025-12-15,1666.36
205A,2025-12-22,1698.3
205A,2025-12-29,1699.27
205A,2026-01-05,1775.71
205A,2026-01-12,1605.4
205A,2026-01-19,1622.82
205A,2026-01-26,1610.24
205A,2026-02-02,1647.01
205A,2026-02-09,1676.04
205A,2026-02-16,1612.17
205A,2026-02-23,1654.75
205A,2026-03-02,1596.69
205A,2026-03-09,1545.4
205A,2026-03-16,1519.28
205A,2026-03-23,1596.69
205A,2026-03-30,1596.69
205A,2026-04-06,1616.04
205A,2026-04-13,1933.45
205A,2026-04-20,1964.41
205A,2026-04-27,1971.19
205A,2026-05-04,1982.8
205A,2026-05-11,1872.48
205A,2026-05-18,1828.94
205A,2026-05-25,1748.0
205A,2026-06-01,1649.0
205A,2026-06-08,1592.0
205A,2026-06-15,1583.0
205A,2026-06-22,1588.0
205A,2026-06-29,1665.0
