code,date,close
1377,2025-07-21,3272.32
1377,2025-07-28,3492.76
1377,2025-08-04,3541.74
1377,2025-08-11,3507.45
1377,2025-08-18,3625.02
1377,2025-08-25,3512.35
1377,2025-09-01,3566.24
1377,2025-09-08,3585.83
1377,2025-09-15,3590.73
1377,2025-09-22,3625.02
1377,2025-09-29,3482.96
1377,2025-10-06,3762.18
1377,2025-10-13,3865.06
1377,2025-10-20,3943.44
1377,2025-10-27,3869.96
1377,2025-11-03,3904.25
1377,2025-11-10,3904.25
1377,2025-11-17,3918.94
1377,2025-11-24,4105.59
1377,2025-12-01,4105.59
1377,2025-12-08,4169.82
1377,2025-12-15,4140.18
1377,2025-12-22,4263.69
1377,2025-12-29,4219.23
1377,2026-01-05,4283.45
1377,2026-01-12,4006.78
1377,2026-01-19,3972.2
1377,2026-01-26,4006.78
1377,2026-02-02,4066.07
1377,2026-02-09,4204.41
1377,2026-02-16,4194.52
1377,2026-02-23,4357.56
1377,2026-03-02,4189.58
1377,2026-03-09,4179.7
1377,2026-03-16,4367.44
1377,2026-03-23,4263.69
1377,2026-03-30,4500.84
1377,2026-04-06,4219.23
1377,2026-04-13,4164.88
1377,2026-04-20,4100.65
1377,2026-04-27,4051.25
1377,2026-05-04,3982.08
1377,2026-05-11,4051.25
1377,2026-05-18,4150.06
1377,2026-05-25,4130.0
1377,2026-06-01,4160.0
1377,2026-06-08,4185.0
1377,2026-06-15,4195.0
1377,2026-06-22,4185.0
1377,2026-06-29,4165.0
1377,2026-07-06,4290.0
1377,2026-07-13,4365.0
150A,2025-07-21,436.0
150A,2025-07-28,425.0
150A,2025-08-04,421.0
150A,2025-08-11,403.0
150A,2025-08-18,410.0
150A,2025-08-25,471.0
150A,2025-09-01,445.0
150A,2025-09-08,435.0
150A,2025-09-15,448.0
150A,2025-09-22,452.0
150A,2025-09-29,440.0
150A,2025-10-06,439.0
150A,2025-10-13,429.0
150A,2025-10-20,422.0
150A,2025-10-27,424.0
150A,2025-11-03,417.0
150A,2025-11-10,413.0
150A,2025-11-17,415.0
150A,2025-11-24,420.0
150A,2025-12-01,415.0
150A,2025-12-08,412.0
150A,2025-12-15,415.0
150A,2025-12-22,409.0
150A,2025-12-29,405.0
150A,2026-01-05,409.0
150A,2026-01-12,405.0
150A,2026-01-19,403.0
150A,2026-01-26,415.0
150A,2026-02-02,403.0
150A,2026-02-09,407.0
150A,2026-02-16,401.0
150A,2026-02-23,402.0
150A,2026-03-02,403.0
150A,2026-03-09,391.0
150A,2026-03-16,368.0
150A,2026-03-23,346.0
150A,2026-03-30,360.0
150A,2026-04-06,370.0
150A,2026-04-13,383.0
150A,2026-04-20,360.0
150A,2026-04-27,365.0
150A,2026-05-04,360.0
150A,2026-05-11,357.0
150A,2026-05-18,373.0
150A,2026-05-25,365.0
150A,2026-06-01,348.0
150A,2026-06-08,336.0
150A,2026-06-15,342.0
150A,2026-06-22,343.0
150A,2026-06-29,357.0
150A,2026-07-06,360.0
150A,2026-07-13,542.0
1770,2025-07-21,1525.3
1770,2025-07-28,1519.57
1770,2025-08-04,1525.3
1770,2025-08-11,1489.03
1770,2025-08-18,1476.62
1770,2025-08-25,1467.08
1770,2025-09-01,1615.98
1770,2025-09-08,1503.35
1770,2025-09-15,1545.35
1770,2025-09-22,1530.07
1770,2025-09-29,1528.13
1770,2025-10-06,1514.51
1770,2025-10-13,1513.54
1770,2025-10-20,1533.96
1770,2025-10-27,1527.16
1770,2025-11-03,1518.4
1770,2025-11-10,1619.56
1770,2025-11-17,1594.27
1770,2025-11-24,1620.54
1770,2025-12-01,1634.15
1770,2025-12-08,1750.88
1770,2025-12-15,1714.89
1770,2025-12-22,1709.05
1770,2025-12-29,1728.51
1770,2026-01-05,1762.55
1770,2026-01-12,1779.09
1770,2026-01-19,1736.29
1770,2026-01-26,1704.19
1770,2026-02-02,1789.79
1770,2026-02-09,1780.06
1770,2026-02-16,1760.61
1770,2026-02-23,1861.77
1770,2026-03-02,1853.99
1770,2026-03-09,1685.71
1770,2026-03-16,1623.45
1770,2026-03-23,1604.0
1770,2026-03-30,1660.0
1770,2026-04-06,1661.0
1770,2026-04-13,1672.0
1770,2026-04-20,1680.0
1770,2026-04-27,1730.0
1770,2026-05-04,1773.0
1770,2026-05-11,1713.0
1770,2026-05-18,1710.0
1770,2026-05-25,1711.0
1770,2026-06-01,1825.0
1770,2026-06-08,1775.0
1770,2026-06-15,1886.0
1770,2026-06-22,1847.0
1770,2026-06-29,2072.0
1770,2026-07-06,2182.0
1770,2026-07-13,2023.0
1795,2025-07-21,4002.07
1795,2025-07-28,4064.83
1795,2025-08-04,4132.41
1795,2025-08-11,4219.31
1795,2025-08-18,4190.34
1795,2025-08-25,4344.83
1795,2025-09-01,4344.83
1795,2025-09-08,4368.97
1795,2025-09-15,4325.52
1795,2025-09-22,4480.0
1795,2025-09-29,4425.0
1795,2025-10-06,4300.0
1795,2025-10-13,4365.0
1795,2025-10-20,4400.0
1795,2025-10-27,4325.0
1795,2025-11-03,4270.0
1795,2025-11-10,4500.0
1795,2025-11-17,4380.0
1795,2025-11-24,4390.0
1795,2025-12-01,4390.0
1795,2025-12-08,4370.0
1795,2025-12-15,4440.0
1795,2025-12-22,4380.0
1795,2025-12-29,4405.0
1795,2026-01-05,4490.0
1795,2026-01-12,4575.0
1795,2026-01-19,4675.0
1795,2026-01-26,4710.0
1795,2026-02-02,4710.0
1795,2026-02-09,4415.0
1795,2026-02-16,4530.0
1795,2026-02-23,4685.0
1795,2026-03-02,4660.0
1795,2026-03-09,4585.0
1795,2026-03-16,4565.0
1795,2026-03-23,4715.0
1795,2026-03-30,4720.0
1795,2026-04-06,4780.0
1795,2026-04-13,4800.0
1795,2026-04-20,4770.0
1795,2026-04-27,4710.0
1795,2026-05-04,4870.0
1795,2026-05-11,4795.0
1795,2026-05-18,4885.0
1795,2026-05-25,4810.0
1795,2026-06-01,4830.0
1795,2026-06-08,4795.0
1795,2026-06-15,4845.0
1795,2026-06-22,4920.0
1795,2026-06-29,4900.0
1795,2026-07-06,5200.0
1795,2026-07-13,5500.0
2004,2025-07-21,2871.55
2004,2025-07-28,2981.55
2004,2025-08-04,2918.83
2004,2025-08-11,2899.54
2004,2025-08-18,2923.66
2004,2025-08-25,2888.92
2004,2025-09-01,2923.66
2004,2025-09-08,2986.38
2004,2025-09-15,3000.85
2004,2025-09-22,3053.92
2004,2025-09-29,2946.08
2004,2025-10-06,2941.18
2004,2025-10-13,2975.49
2004,2025-10-20,3019.61
2004,2025-10-27,2885.29
2004,2025-11-03,2937.25
2004,2025-11-10,2946.08
2004,2025-11-17,2990.2
2004,2025-11-24,3044.12
2004,2025-12-01,2799.02
2004,2025-12-08,2811.76
2004,2025-12-15,2815.69
