code,date,close
150A,2025-07-28,425.0
150A,2025-08-04,421.0
150A,2025-08-11,403.0
150A,2025-08-18,410.0
150A,2025-08-25,471.0
150A,2025-09-01,445.0
150A,2025-09-08,435.0
150A,2025-09-15,448.0
150A,2025-09-22,452.0
150A,2025-09-29,440.0
150A,2025-10-06,439.0
150A,2025-10-13,429.0
150A,2025-10-20,422.0
150A,2025-10-27,424.0
150A,2025-11-03,417.0
150A,2025-11-10,413.0
150A,2025-11-17,415.0
150A,2025-11-24,420.0
150A,2025-12-01,415.0
150A,2025-12-08,412.0
150A,2025-12-15,415.0
150A,2025-12-22,409.0
150A,2025-12-29,405.0
150A,2026-01-05,409.0
150A,2026-01-12,405.0
150A,2026-01-19,403.0
150A,2026-01-26,415.0
150A,2026-02-02,403.0
150A,2026-02-09,407.0
150A,2026-02-16,401.0
150A,2026-02-23,402.0
150A,2026-03-02,403.0
150A,2026-03-09,391.0
150A,2026-03-16,368.0
150A,2026-03-23,346.0
150A,2026-03-30,360.0
150A,2026-04-06,370.0
150A,2026-04-13,383.0
150A,2026-04-20,360.0
150A,2026-04-27,365.0
150A,2026-05-04,360.0
150A,2026-05-11,357.0
150A,2026-05-18,373.0
150A,2026-05-25,365.0
150A,2026-06-01,348.0
150A,2026-06-08,336.0
150A,2026-06-15,342.0
150A,2026-06-22,343.0
150A,2026-06-29,357.0
150A,2026-07-06,360.0
150A,2026-07-13,542.0
150A,2026-07-20,556.0
1518,2025-07-28,1135.65
1518,2025-08-04,1223.45
1518,2025-08-11,1238.72
1518,2025-08-18,1215.82
1518,2025-08-25,1198.64
1518,2025-09-01,1257.81
1518,2025-09-08,1295.98
1518,2025-09-15,1257.81
1518,2025-09-22,1294.07
1518,2025-09-29,1295.04
1518,2025-10-06,1274.66
1518,2025-10-13,1262.04
1518,2025-10-20,1295.04
1518,2025-10-27,1259.12
1518,2025-11-03,1259.12
1518,2025-11-10,1263.98
1518,2025-11-17,1291.16
1518,2025-11-24,1318.34
1518,2025-12-01,1320.28
1518,2025-12-08,1320.28
1518,2025-12-15,1329.99
1518,2025-12-22,1344.55
1518,2025-12-29,1370.77
1518,2026-01-05,1399.89
1518,2026-01-12,1392.12
1518,2026-01-19,1416.39
1518,2026-01-26,1383.39
1518,2026-02-02,1448.43
1518,2026-02-09,1495.03
1518,2026-02-16,1443.58
1518,2026-02-23,1467.85
1518,2026-03-02,1380.47
